t mart.s0 mart.sn aus1.s0 aus1.sn fer1.s0 fer1.sn aus2.s0 aus2.sn fer2.s0 fer2.sn
5.000000e-05 -1.160000e+00 -6.600000e-01 -6.600000e-01 -3.300026e-01 -3.300026e-01 -3.299974e-01 -3.299974e-01 -2.615337e-06 -2.615337e-06 0.000000e+00
1.000000e-04 -1.160000e+00 -6.600000e-01 -6.600000e-01 -3.300052e-01 -3.300052e-01 -3.299948e-01 -3.299948e-01 -5.230674e-06 -5.230674e-06 0.000000e+00
1.500000e-04 -1.160000e+00 -6.600000e-01 -6.600000e-01 -3.300078e-01 -3.300078e-01 -3.299922e-01 -3.299922e-01 -7.845822e-06 -7.845822e-06 0.000000e+00
2.000000e-04 -1.160000e+00 -6.600000e-01 -6.600000e-01 -3.300105e-01 -3.300105e-01 -3.299895e-01 -3.299895e-01 -1.046059e-05 -1.046059e-05 0.000000e+00
2.500000e-04 -1.160000e+00 -6.600000e-01 -6.600000e-01 -3.300131e-01 -3.300131e-01 -3.299869e-01 -3.299869e-01 -1.307479e-05 -1.307479e-05 0.000000e+00
3.000000e-04 -1.160000e+00 -6.600000e-01 -6.600000e-01 -3.300157e-01 -3.300157e-01 -3.299843e-01 -3.299843e-01 -1.568823e-05 -1.568823e-05 0.000000e+00
3.500000e-04 -1.160000e+00 -6.600000e-01 -6.600000e-01 -3.300183e-01 -3.300183e-01 -3.299817e-01 -3.299817e-01 -1.830073e-05 -1.830073e-05 0.000000e+00
4.000000e-04 -1.160000e+00 -6.600000e-01 -6.600000e-01 -3.300209e-01 -3.300209e-01 -3.299791e-01 -3.299791e-01 -2.091210e-05 -2.091210e-05 0.000000e+00
4.500000e-04 -1.160000e+00 -6.600000e-01 -6.600000e-01 -3.300235e-01 -3.300235e-01 -3.299765e-01 -3.299765e-01 -2.352214e-05 -2.352214e-05 0.000000e+00
5.000000e-04 -1.160000e+00 -6.600000e-01 -6.600000e-01 -3.300261e-01 -3.300261e-01 -3.299739e-01 -3.299739e-01 -2.613068e-05 -2.613068e-05 0.000000e+00
5.500000e-04 -1.160000e+00 -6.600000e-01 -6.600000e-01 -3.300287e-01 -3.300287e-01 -3.299713e-01 -3.299713e-01 -2.873752e-05 -2.873752e-05 0.000000e+00
6.000000e-04 -1.160000e+00 -6.600000e-01 -6.600000e-01 -3.300313e-01 -3.300313e-01 -3.299687e-01 -3.299687e-01 -3.134249e-05 -3.134249e-05 0.000000e+00
6.500000e-04 -1.160000e+00 -6.600000e-01 -6.600000e-01 -3.300339e-01 -3.300339e-01 -3.299661e-01 -3.299661e-01 -3.394540e-05 -3.394540e-05 0.000000e+00
7.000000e-04 -1.160000e+00 -6.600000e-01 -6.600000e-01 -3.300365e-01 -3.300365e-01 -3.299635e-01 -3.299635e-01 -3.654607e-05 -3.654607e-05 0.000000e+00
7.500000e-04 -1.160000e+00 -6.600000e-01 -6.600000e-01 -3.300391e-01 -3.300391e-01 -3.299609e-01 -3.299609e-01 -3.914431e-05 -3.914431e-05 0.000000e+00
8.000000e-04 -1.160000e+00 -6.600000e-01 -6.600000e-01 -3.300416e-01 -3.300416e-01 -3.299584e-01 -3.299584e-01 -4.173989e-05 -4.173989e-05 0.000000e+00
8.500000e-04 -1.160000e+00 -6.600000e-01 -6.600000e-01 -3.300442e-01 -3.300442e-01 -3.299558e-01 -3.299558e-01 -4.433260e-05 -4.433260e-05 0.000000e+00
9.000000e-04 -1.160000e+00 -6.600000e-01 -6.600000e-01 -3.300468e-01 -3.300468e-01 -3.299532e-01 -3.299532e-01 -4.692226e-05 -4.692226e-05 0.000000e+00
